DefaultSC.ElapsedSecs     DefaultSC.EarthFixed.X    DefaultSC.EarthFixed.Y    DefaultSC.EarthFixed.Z    DefaultSC.EarthMJ2000Eq.X   DefaultSC.EarthMJ2000Eq.Y   DefaultSC.EarthMJ2000Eq.Z   
54.83383712125942         -4760.31152686524         908.7637247252464         4690.910706373947         4392.352821773926           2072.574278279838           4680.03559232446            
58.72782248770818         -4764.872330230462        880.5803546777088         4691.657230230839         4378.827234354348           2099.267931302632           4680.814443523534           
62.62180753983557         -4769.35585998977         852.3823142710312         4692.31125890666          4365.215568160468           2125.920316272841           4681.501012678612           
66.51579259196296         -4773.762036696758        824.1701117336252         4692.872779663996         4351.518090892402           2152.530909367986           4682.095286412384           
70.40977795841172         -4778.090782122294        795.944255524047          4693.341781578587         4337.73507192633            2179.099187583278           4682.597253156546           
74.30376301053911         -4782.342019308906        767.7052539925022         4693.718255539507         4323.866782309428           2205.624628741725           4683.006903151986           
78.19774837698787         -4786.515672443727        739.4536161392817         4694.002194249293         4309.913494754743           2232.106711504229           4683.324228448934           
82.09173342911527         -4790.611667003514        711.1898507276441         4694.193592224055         4295.875483635993           2258.544915379664           4683.549222907076           
85.98571879556403         -4794.629929617687        682.914467152797          4694.29244579354          4281.753024982316           2284.938720734924           4683.681882195634           
89.87970384769142         -4798.570388202465        654.627974555961          4694.29875310117          4267.546396472955           2311.287608804931           4683.72220379342            
93.77368921414018         -4802.432971834643        626.3308826918646         4694.212514104075         4253.25587743191            2337.591061702611           4683.670186988871           
97.66767426626757         -4806.217610875156        598.0237010421771         4694.033730573073         4238.881748822536           2363.848562428821           4683.52583288006            
101.5616596327163         -4809.924236853005        569.7069396855651         4693.762406092681         4224.424293242128           2390.059594882242           4683.289144374699           
105.4556446848437         -4813.552782578593        541.3811084083796         4693.398546061081         4209.883794916484           2416.223643869235           4682.960126190136           
109.3496297369711         -4817.103182049661        513.046717466336          4692.942157690104         4195.260539694443           2442.340195113674           4682.538784853341           
113.2436151034199         -4820.575370495434        484.7042772463074         4692.3932500052           4180.554815042445           2468.408735266758           4682.025128700893           
117.1376001555473         -4823.969284409384        456.3542979236347         4691.751833845416         4165.766910039066           2494.428751916823           4681.419167878971           
121.031585521996          -4827.284861471717        427.9972902295218         4691.017921863357         4150.897115369559           2520.399733599152           4680.720914343328           
124.9255705741234         -4830.522040637178        399.6337645548879         4690.19152852515          4135.945723320402           2546.321169805806           4679.930381859266           
128.8195559405722         -4833.680762055042        371.2642318279277         4689.272670110387         4120.913027773818           2572.192550995482           4679.047586001597           
132.7135409926996         -4836.760967146344        342.8892026190247         4688.261364712048         4105.799324202299           2598.013368603393           4678.072544154572           
136.6075263591483         -4839.762598534425        314.5091880185944         4687.157632236394         4090.604909663091           2623.783115051196           4677.005275511794           
140.5015114112757         -4842.685600111831        286.1246987396703         4685.961494402816         4075.33008279265            2649.501283756941           4675.845801076077           
144.3954967777245         -4845.529916981234        257.7362459974531         4684.672974743639         4059.975143801055           2675.167369145067           4674.594143659264           
148.2894818298519         -4848.295495511864        229.3443406115164         4683.292098603861         4044.540394466361           2700.780866656413           4673.25032788198            
152.1834671963006         -4850.982283290868        200.9494938853734         4681.81889314083          4029.026138128891           2726.341272758249           4671.81438017332            
156.077452248428          -4853.590229169237        172.5522167078301         4680.253387323833         4013.432679685456           2751.848084954308           4670.286328770455           
159.9714373005554         -4856.11928322682         144.1530203221004         4678.595611933619         3997.760325583505           2777.30080179481            4668.666203718168           
163.8654226670042         -4858.569396791185        115.7524159827426         4676.845599561826         3982.009383815196           2802.698922886463           4666.954036868298           
167.7594077191316         -4860.940522444685        87.35091461276382         4675.003384610349         3966.180163911396           2828.041948902414           4665.149861879114           
171.6533930855803         -4863.232614006231        58.94902757300704         4673.069003290591         3950.272976935613           2853.329381592156           4663.25371421459            
175.5473781377077         -4865.44562655084         30.54726576205835         4671.042493622678         3934.288135477866           2878.560723791365           4661.26563114363            
179.4413635041565         -4867.57951639708         2.146140497835201         4668.923895434583         3918.225953648504           2903.735479431667           4659.185651739209           
183.3353485562839         -4869.634241116057        -26.25383738246247        4666.713250361199         3902.08674707199            2928.853153550318           4657.013816877458           
187.2293339227326         -4871.609759529174        -54.65215664013777        4664.410601843376         3885.870832880645           2953.913252299808           4654.750169236718           
191.12331897486           -4873.506031706605        -83.04830653695487        4662.015995126899         3869.578529708389           2978.915282957392           4652.394753296533           
195.0173043413088         -4875.323018975398        -111.4417759502778        4659.529477261464         3853.210157684471           3003.858753934532           4649.947615336644           
198.9112893934362         -4877.060683907486        -139.8320542764656        4656.951097099633         3836.766038427195           3028.743174786293           4647.408803435947           
202.8052744455636         -4878.718990334315        -168.2186306575196        4654.280905295764         3820.246495037669           3053.568056220672           4644.778367471458           
